feature;coeficiente;odds_ratio_aprox;abs_coeficiente
cat__uf_RN;3.069557327129808;21.53236876947223;3.069557327129808
cat__tipo_disputa_MAIOR LANCE;2.1602125225005504;8.672980666154613;2.1602125225005504
txt__ano;-1.9170687182936137;0.14703733890609197;1.9170687182936137
txt__novo;1.7001843492013597;5.474956602577899;1.7001843492013597
cat__uf_PI;-1.6578895620901646;0.19054068034588026;1.6578895620901646
txt__cod;1.6367692787534371;5.138541471307439;1.6367692787534371
txt__toner;-1.6100150910741386;0.19988459757910224;1.6100150910741386
txt__cirurgico;1.5733974796656225;4.823006455969814;1.5733974796656225
txt__onibus;1.448426142646593;4.256410258196656;1.448426142646593
txt__2018;-1.4413618907023156;0.23660530859118112;1.4413618907023156
txt__trofeu;-1.4201506097763492;0.24167761514430983;1.4201506097763492
txt__catmat;1.419496949916038;4.135039784847378;1.419496949916038
cat__modalidade_LEILÃO ELETRÔNICO;1.3669788020409888;3.9234791641343634;1.3669788020409888
txt__me epp;1.3273342948183982;3.7709776627067106;1.3273342948183982
txt__camiseta;-1.3098644340668781;0.26985663727191067;1.3098644340668781
txt__bloco;-1.307683832391138;0.2704457291613072;1.307683832391138
txt__grampeador;-1.291275359767322;0.27491993758255806;1.291275359767322
cat__tipo_disputa_MAIOR DESCONTO;-1.2832169067279253;0.2771443174823008;1.2832169067279253
cat__uf_PB;-1.2795643049346936;0.2781584663267425;1.2795643049346936
txt__medico;1.2734310578186692;3.573091036831386;1.2734310578186692
txt__xarope;-1.2619507768655278;0.2831012201632771;1.2619507768655278
txt__ficha;-1.2611415270253377;0.28333041250487684;1.2611415270253377
txt__impressao;-1.254731803709288;0.2851523147630816;1.254731803709288
txt__led;-1.2129993603924507;0.29730421829643483;1.2129993603924507
txt__evento;-1.2107704639150345;0.29796761767093505;1.2107704639150345
txt__cores;-1.1817613368408562;0.3067379935952679;1.1817613368408562
txt__soro;-1.1495083644832036;0.3167924775334968;1.1495083644832036
txt__2022;-1.1387451034179432;0.32022061353899695;1.1387451034179432
txt__descricao;1.1251438385458727;3.0806599346961954;1.1251438385458727
txt__pincel;-1.0881383936695523;0.3368429794137699;1.0881383936695523
txt__frente;-1.0876184258518067;0.337018172466126;1.0876184258518067
txt__compativel com;1.0757328758548905;2.932141008637638;1.0757328758548905
txt__cola;-1.0708165358878463;0.34272855297046206;1.0708165358878463
txt__lona;-1.0557674461402935;0.3479253108836261;1.0557674461402935
txt__macarrao;-1.0546537126497604;0.348313022818368;1.0546537126497604
cat__uf_TO;1.0525267596123833;2.8648808455397416;1.0525267596123833
txt__oficio;-1.0495501330263934;0.35009520996286153;1.0495501330263934
txt__sanitaria;-1.0477231698768785;0.3507354056391698;1.0477231698768785
txt__construcao;-1.0473770593967222;0.35085681984897654;1.0473770593967222
txt__industrial;1.0311842244818594;2.804384890301397;1.0311842244818594
txt__do item;1.0290041610160028;2.7982778125851033;1.0290041610160028
txt__arame;-1.0097469567614554;0.3643111543832681;1.0097469567614554
txt__solucao;1.0080152921507777;2.7401572031066546;1.0080152921507777
txt__eva;-0.9927458661550692;0.3705577906843224;0.9927458661550692
txt__guia;0.986741975285021;2.6824806317823033;0.986741975285021
txt__regulagem;0.9842117431257678;2.67570191250444;0.9842117431257678
txt__veiculos;0.9813197109253683;2.6679748752207737;0.9813197109253683
txt__hp;-0.9711388750296142;0.3786515556460881;0.9711388750296142
txt__diamantada;-0.970393162303788;0.3789340262376548;0.970393162303788
txt__primeira;-0.9703715464034944;0.3789422173263124;0.9703715464034944
txt__kit;0.9701844341703856;2.638431031320906;0.9701844341703856
txt__pneus;0.9660076599526605;2.6274338829045316;0.9660076599526605
txt__palco;-0.9584806901578482;0.38347506104543466;0.9584806901578482
txt__pasta;-0.9569564899983936;0.3840599994629983;0.9569564899983936
txt__regulagem de;0.9489821210903344;2.5830790590305104;0.9489821210903344
txt__din;-0.9457369178089052;0.38839325151388293;0.9457369178089052
txt__broca;-0.9440352247315246;0.3890547402870925;0.9440352247315246
txt__fabricacao;0.9426574022046096;2.5667933656272734;0.9426574022046096
cat__familia_textual_ml_FAMILIA_14;0.9422142681691842;2.5656561841055874;0.9422142681691842
txt__futebol;-0.9339934562080543;0.3929812193343539;0.9339934562080543
txt__similar;-0.9302155175524258;0.39446868628406206;0.9302155175524258
txt__diversas;-0.9269043565035934;0.3957770004571951;0.9269043565035934
txt__2020;-0.9100676369650798;0.40249699943745615;0.9100676369650798
txt__classe;0.9091887537839793;2.4823079534009143;0.9091887537839793
txt__lactose;0.8883395091730159;2.431089496090018;0.8883395091730159
txt__inclusive;0.886588478563976;2.426836308786354;0.886588478563976
txt__a4;-0.8820730252563681;0.41392394686524686;0.8820730252563681
txt__carimbo;-0.880302040859412;0.41465764921261183;0.880302040859412
txt__partir da;-0.8787830165022855;0.41528800292174517;0.8787830165022855
txt__polido;-0.8759903698228393;0.4164493764823433;0.8759903698228393
txt__ui;0.8587254008699027;2.3601505299249124;0.8587254008699027
txt__tinta;-0.8557594307122548;0.4249603405723735;0.8557594307122548
txt__descartavel;-0.8536546137034366;0.42585574632734186;0.8536546137034366
txt__solucao injetavel;-0.8498832635629892;0.42746482975739714;0.8498832635629892
txt__de impressao;0.8495252289866806;2.3385363190645587;0.8495252289866806
txt__2023;-0.8469854519755681;0.42870533880695383;0.8469854519755681
txt__lonas;-0.8447011562241281;0.4296857479369002;0.8447011562241281
txt__nasogastrica;0.844325730215429;2.326408658547415;0.844325730215429
txt__de fabricacao;0.8420054001744669;2.321016880420894;0.8420054001744669
txt__em madeira;0.8386382479338955;2.313214805989255;0.8386382479338955
txt__no ministerio;0.8381823101628991;2.3121603643849205;0.8381823101628991
