uf;cidade;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
BA;VEREDA;2726;48;2618;1089;1529;80;1449;0;1297;2247;2.272927366104182;2.0;16448.524567131328;42.685;31927.82621496786;51.8;6.9612794;3.2198026;17.81;126.22122192382812;788;2211;0;58.40336134453782;41.596638655462186;3.055767761650115;55.3475935828877;47.57887013939839;82.42846661775495;28.906823184152604;81.10785033015408;0.0
SP;ITAPORANGA;3013;123;2981;1859;1122;47;1075;0;388;1370;6.790242283438434;6.0;3114.8346547295055;78.57;2541.5849838622917;17.64;32.476986;32.09302;17.81;330.4884948730469;2492;0;0;37.63837638376384;62.36162361623616;1.576652130157665;36.06172425360617;12.877530700298706;45.46963159641553;82.70826418851644;0.0;0.0
SP;VOTUPORANGA;5403;293;5226;4211;1015;153;862;0;1718;2049;5.256339070886544;3.0;28505.048673847865;29.54;2346.597950320589;20.09;22.328543;18.231884;17.81;69.56765747070312;982;0;1;19.422120168388826;80.57787983161117;2.9276693455797935;16.494450822809032;31.797149731630576;37.92337590227651;18.175087914121786;0.0;0.018508236165093468
SP;IARAS;4779;41;4778;3860;918;78;840;0;1190;1558;4.7976564134756225;4.0;395.56086210504293;18.2;215.61911054404146;13.81;23.153482;14.810811;17.81;21.84166145324707;2289;0;0;19.21305985768104;80.78694014231897;1.6324822101297616;17.580577647551276;24.900606821510777;32.60096254446537;47.897049591964844;0.0;0.0
PR;CURITIBA;3621;365;3246;2382;864;559;305;0;1207;1814;4.140568903617785;2.0;28764.946166859987;77.0;34748.74171330891;66.677;26.866426;22.409946;17.81;300.2245788574219;380;0;0;26.617375231053604;73.38262476894639;17.22119531731362;9.396179913739989;33.33333333333333;50.09665838166253;10.494338580502625;0.0;0.0
SP;SANTA FÉ DO SUL;2141;25;2012;1239;773;1;772;0;1045;1050;2.407286314806165;3.0;2943.1125045773;5.0;3476.820354838709;10.0;-23.010277;0.0;17.81;-43.851768493652344;0;0;0;38.41948310139165;61.58051689860835;0.049701789264413515;38.36978131212724;48.80896777206913;49.04250350303597;0.0;0.0;0.0
BA;CÂNDIDO SALES;1971;18;1960;1228;732;0;732;0;382;753;4.494165398274987;4.0;1853.4708861491629;7.3;2065.8727348534203;5.0;-45.39209;25.649065;17.81;-44.680850982666016;70;0;0;37.3469387755102;62.65306122448979;0.0;37.3469387755102;19.381024860476913;38.20395738203957;3.5514967021816335;0.0;0.0
BA;TEIXEIRA DE FREITAS;3337;157;3111;2389;722;98;624;0;1125;1494;4.285885525921486;3.0;15089.802133652982;35.0;11744.742096881497;21.72;23.397732;19.195593;17.81;96.51880645751953;1900;8;12;23.207971713275473;76.79202828672452;3.1501125040180002;20.057859209257472;33.71291579262811;44.77075217261013;56.93736889421637;0.23973629008091102;0.3596044351213665
MT;NOVA MUTUM;2968;119;2916;2218;698;247;451;31;1051;1411;4.325134770889488;3.0;12657.086227425876;56.084999999999994;13898.432618679837;40.36;21.694502;17.492613;17.81;195.78887939453125;92;0;0;23.93689986282579;76.06310013717422;8.470507544581618;15.466392318244171;35.411051212938006;47.54043126684636;3.0997304582210243;0.0;0.0
MS;NOVA ANDRADINA;3520;135;3349;2710;639;109;530;0;994;1227;5.751420454545454;5.0;2995.39628125;58.480000000000004;2924.6813278444206;27.37;30.999418;29.3441;17.81;225.15440368652344;816;6;6;19.080322484323677;80.91967751567633;3.254702896386981;15.825619587936698;28.238636363636367;34.85795454545455;23.18181818181818;0.17045454545454544;0.17045454545454544
MG;ERVÁLIA;3880;70;3880;3289;591;148;443;0;1887;2171;3.565979381443299;2.0;1714.3238389175258;17.16;1144.3779567345698;19.3;17.605358;5.235459;17.81;0.0;1459;1413;0;15.231958762886597;84.7680412371134;3.814432989690722;11.417525773195877;48.6340206185567;55.95360824742268;37.603092783505154;36.41752577319588;0.0
SP;GUARIBA;2281;79;2164;1592;572;70;502;0;775;1133;4.694870670758439;3.0;1919.6152783866726;19.9;1864.5271450094162;12.0;25.878088;20.53232;17.81;15.160022735595703;989;0;0;26.432532347504623;73.56746765249538;3.234750462107209;23.19778188539741;33.976326172731255;49.671196843489696;43.35817623849189;0.0;0.0
SP;TERRA ROXA;2801;30;2801;2290;511;102;409;0;750;949;4.8111388789717955;4.0;763.8865999999999;7.55;669.3848419213973;5.1107;14.061539;17.870722;17.81;-55.549129486083984;920;0;0;18.243484469832204;81.75651553016779;3.641556586933238;14.601927882898966;26.776151374509105;33.88075687254552;32.84541235273117;0.0;0.0
RJ;RIO DE JANEIRO;1168;360;846;388;458;153;305;0;454;713;2.9571917808219177;2.0;5653.313356164384;0.0;160558.05789812646;500.0;5.0461617;5.0461617;17.81;-100.0;0;1;0;54.1371158392435;45.8628841607565;18.085106382978726;36.05200945626478;38.86986301369863;61.044520547945204;0.0;0.08561643835616438;0.0
PR;ITAIPULÂNDIA;3951;85;3910;3463;447;162;285;0;666;942;5.641609719058466;5.0;1066.5609227848101;27.994999999999997;857.1248545034641;17.994999999999997;-699.1231;20.793951;17.81;71.11173629760742;3505;0;0;11.432225063938619;88.56777493606138;4.143222506393862;7.289002557544758;16.856492027334852;23.84206529992407;88.71171855226525;0.0;0.0
MG;MANHUAÇU;2576;53;2568;2153;415;19;396;0;479;681;6.671583850931677;6.0;2319.780807763975;63.555;2409.403913794705;48.99;24.822649;23.995657;17.81;261.84727478027344;989;0;0;16.160436137071652;83.83956386292834;0.7398753894080997;15.42056074766355;18.59472049689441;26.43633540372671;38.392857142857146;0.0;0.0
