status_processo;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
HOMOLOGADO;907895;29932;906054;844539;61515;18983;42532;0;176097;213797;6.503432665671691;5.0;11720.289275485302;24.7711;10204.037873372314;17.5;-1115.8181;27.390324;17.81;48.466496;300753;61782;18702;6.789330437258706;93.21066956274129;2.0951289878969686;4.694201449361738;19.396185682265017;23.548648246768625;33.126407789447015;6.804971940587843;2.059929837701496
FRACASSADO;11357;1619;11349;0;11349;758;10591;0;5653;11352;3.144052126441842;2.0;30195.108779140617;87.167;164.67733333333334;95.7;14.029116;12.465788;17.81;369.3992;4012;859;60;100.0;0.0;6.679002555291215;93.32099744470878;49.77546887382231;99.95597428898478;35.32623051862288;7.563617152417011;0.5283085321827948
DESERTO;3898;765;3855;0;3855;3855;0;0;15;3870;0.043099025141098;0.0;11783.814822857876;63.739999999999995;;;;;17.81;252.66705;1431;567;213;100.0;0.0;100.0;0.0;0.38481272447408926;99.28168291431503;36.71113391482812;14.545920985120574;5.464340687532068
ADJUDICADO;18955;656;18922;17654;1268;414;854;0;3162;3834;6.9807438670535475;6.0;6786.819414910799;29.99;5510.449138410559;17.99;20.864536;31.273493;17.81;63.16676;12689;923;828;6.701194376915759;93.29880562308423;2.1879293943557765;4.513264982559983;16.681614349775785;20.22685307306779;66.94275916644685;4.8694275916644685;4.368240569770509
HABILITAÇÃO;22728;803;8601;7806;795;382;413;0;3374;3949;7.343277015135516;6.0;7545.6279765971485;25.9;3148.633984919864;16.240000000000002;-88.047966;32.975872;17.81;58.787197;10831;1025;203;9.243111266131846;90.75688873386815;4.441344029763981;4.801767236367864;14.845124956001406;17.375043998592048;47.65487504399859;4.509855684618092;0.8931714185146076
;10129;0;3509;3383;126;20;106;0;488;566;2.6604798104452563;0.0;6870.549732490118;26.1;6020.686671321099;17.99;30.148275;27.957748;17.81;58.903225;462;0;0;3.590766600170989;96.409233399829;0.5699629524080935;3.0208036477628952;4.817849738374963;5.587915885082436;4.561161022805805;0.0;0.0
RESULTADO FINAL;420;47;420;337;83;44;39;337;250;318;4.171428571428572;1.0;49015.48848071428;9.905000000000001;627.663;440.57;0.0;0.0;17.81;20.07571;9;1;1;19.761904761904763;80.23809523809524;10.476190476190476;9.285714285714286;59.523809523809526;75.71428571428571;2.142857142857143;0.2380952380952381;0.2380952380952381
EM FINALIZAÇÃO;4860;119;122;48;74;74;0;48;1763;1837;3.561111111111111;1.0;10741.980821419753;22.27;12866.264;7150.0;0.0;0.0;17.81;28.747894;141;143;118;60.65573770491803;39.34426229508197;60.65573770491803;0.0;36.275720164609055;37.79835390946502;2.9012345679012346;2.94238683127572;2.42798353909465
JULGAMENTO;51;5;3;1;2;2;0;0;2;4;13.588235294117647;13.0;153452.8082352941;16100.0;195613.34842105265;17100.5;-37.93745;-14.3581085;17.81;90298.66;3;0;0;66.66666666666666;33.33333333333333;66.66666666666666;0.0;3.9215686274509802;7.8431372549019605;5.88235294117647;0.0;0.0
ANÁLISE DE PROPOSTAS;242;55;3;2;1;1;0;2;38;39;3.334710743801653;1.0;185692.0801983471;273.635;;;;;17.81;1409.4048;118;11;7;33.33333333333333;66.66666666666666;33.33333333333333;0.0;15.702479338842975;16.115702479338843;48.760330578512395;4.545454545454546;2.8925619834710745
REVOGADO;35028;1279;0;0;0;0;0;0;7033;7033;4.371845380838186;3.0;51732.2996343097;32.44;;;;;17.81;94.27288;7349;1979;546;;;;;20.078223135777094;20.078223135777094;20.98035857028663;5.649765901564463;1.5587529976019185
ANULADO;17502;717;0;0;0;0;0;0;3555;3555;4.892640841046737;3.0;244658.28008133356;26.2;;;;;17.81;54.15497;3559;1164;47;;;;;20.31196434693178;20.31196434693178;20.33481887784253;6.65066849502914;0.2685407382013484
SUSPENSO;12322;254;0;0;0;0;0;0;1936;1936;2.756695341665314;0.0;16456.52397776335;9.31;48733.41713117871;5.99;23.73739;40.0;17.81;-39.472206;2608;3515;0;;;;;15.711735107937022;15.711735107937022;21.165395228047394;28.52621327706541;0.0
RECEPÇÃO DE PROPOSTAS;777;91;0;0;0;0;0;0;353;353;4.307593307593308;3.0;18706.00840965251;157.84;;;;;17.81;787.142;24;38;35;;;;;45.43114543114543;45.43114543114543;3.088803088803089;4.89060489060489;4.504504504504505
EM RETIFICAÇÃO;221;17;0;0;0;0;0;0;0;0;0.0;0.0;8165.145952941177;7.6633;;;;;17.81;-56.971928;147;1;55;;;;;0.0;0.0;66.51583710407239;0.4524886877828055;24.8868778280543
DISPUTA;195;7;0;0;0;0;0;0;81;81;5.666666666666667;1.0;3978.9520512820513;19.49;280.233562;8.9851;26.116255;18.68723;17.81;9.432903;0;2;0;;;;;41.53846153846154;41.53846153846154;0.0;1.0256410256410255;0.0
CANCELADO;88;19;0;0;0;0;0;0;13;13;10.636363636363637;11.5;109936.4604625;2081.5;38.083333333333336;34.9;79.95614;81.63158;17.81;11587.254;10;1;0;;;;;14.772727272727273;14.772727272727273;11.363636363636363;1.1363636363636365;0.0
PUBLICADO;80;1;0;0;0;0;0;0;0;0;0.0;0.0;44.630125;21.36;;;;;17.81;22.2347;4;0;0;;;;;0.0;0.0;5.0;0.0;0.0
