resultado_final_normalizado;classificacao_preco_ref;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
FRACASSADO;COTADO_ACIMA_DA_REFERENCIA;30913;5628;30913;0;30913;0;30913;0;16927;30913;3.280820366835959;2.0;14269.242941962928;122.67;164.67733333333334;95.7;14.029116;12.465788;17.81;570.6906127929688;12197;1782;161;100.0;0.0;0.0;100.0;54.75689839226215;100.0;39.4558923430272;5.764565069711772;0.5208164849739592
FRACASSADO;COTADO_ABAIXO_DA_REFERENCIA;20516;2798;20516;0;20516;0;20516;0;11554;20516;3.286605576135699;2.0;7.8701101238058095;4.11;;;;;17.81;-75.46238327026367;7431;998;34;100.0;0.0;0.0;100.0;56.31702086176643;100.0;36.220510820822774;4.864496003119516;0.1657243127315266
DESERTO;COTADO_ACIMA_DA_REFERENCIA;13549;2783;13549;0;13549;13549;0;0;0;13549;0.0;0.0;5168.605332408296;84.0;;;;;17.81;382.7624816894531;5870;1336;153;100.0;0.0;100.0;0.0;0.0;100.0;43.32423057052181;9.860506310428814;1.1292346298619824
DESERTO;COTADO_ABAIXO_DA_REFERENCIA;9367;1704;9367;0;9367;9367;0;0;0;9367;0.0;0.0;15.92612879256966;5.0233;;;;;17.81;-71.25210571289062;4151;888;152;100.0;0.0;100.0;0.0;0.0;100.0;44.315148927084444;9.480089676523967;1.6227180527383367
FRACASSADO;COTADO_PROXIMO_DA_REFERENCIA;3103;1224;3103;0;3103;0;3103;0;1861;3103;2.9919432806961006;2.0;23.119023880116014;17.0;;;;;17.81;0.0;1094;183;7;100.0;0.0;0.0;100.0;59.97421849822753;100.0;35.256203673864;5.8975185304543984;0.2255881405091847
DESERTO;COTADO_PROXIMO_DA_REFERENCIA;1617;737;1617;0;1617;1617;0;0;0;1617;0.0;0.0;18.741007792207792;17.35;;;;;17.81;-0.8422234654426575;667;184;11;100.0;0.0;100.0;0.0;0.0;100.0;41.249226963512676;11.379097093382807;0.6802721088435374
FRACASSADO;SEM_REFERENCIA;3;3;3;0;3;0;3;0;2;3;1.6666666666666667;1.0;264.965;264.965;;;;;840.0;;3;1;0;100.0;0.0;0.0;100.0;66.66666666666666;100.0;100.0;33.33333333333333;0.0
HOMOLOGADO;COTADO_ACIMA_DA_REFERENCIA;479143;27361;479143;479143;0;0;0;0;87389;87389;6.877287156443901;5.0;21929.46009510188;93.3;17321.62174053508;62.13;29.28636;27.44173;17.81;409.4176940917969;150926;29335;8441;0.0;100.0;0.0;0.0;18.238605176325233;18.238605176325233;31.499155784390048;6.1223893493174275;1.7616870120193762
HOMOLOGADO;COTADO_ABAIXO_DA_REFERENCIA;323778;10638;323778;323778;0;0;0;0;55110;55110;6.831801419491133;5.0;70.7578901725874;4.95;1005.1157872069751;3.6;-3101.1575;28.417267;17.81;-71.92588806152344;111407;24671;8640;0.0;100.0;0.0;0.0;17.020921742675537;17.020921742675537;34.40845270524866;7.6197270969614985;2.6684950799621965
HOMOLOGADO;COTADO_PROXIMO_DA_REFERENCIA;54642;7075;54642;54642;0;0;0;0;10715;10715;6.416620914314996;5.0;460.05213944584744;17.5;371.3149985926576;12.2;26.639814;23.643923;17.81;0.0;18439;4043;1396;0.0;100.0;0.0;0.0;19.609457926137402;19.609457926137402;33.74510449837121;7.399070312214048;2.5548113173017093
