resultado_final_normalizado;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
FRACASSADO;54535;6681;54535;0;54535;0;54535;0;30344;54535;3.2664710736224443;2.0;8092.911550689478;29.025;164.67733333333334;95.7;14.029116;12.465788;17.81;64.7389144897461;20725;2964;202;100.0;0.0;0.0;100.0;55.64133125515723;100.0;38.0031172641423;5.435041716328963;0.3704043274961034
DESERTO;24533;3427;24533;0;24533;24533;0;0;0;24533;0.0;0.0;2861.8154284759303;25.63;;;;;17.81;50.70185470581055;10688;2408;316;100.0;0.0;100.0;0.0;0.0;100.0;43.56580931806139;9.815350752048262;1.2880609790893898
HOMOLOGADO;857616;30051;857616;857616;0;0;0;0;153223;153223;6.830818221674969;5.0;12308.05931788752;24.9;10080.647095802316;17.41;-1097.8584;27.536232;17.81;49.52273941040039;280807;58050;18480;0.0;100.0;0.0;0.0;17.86615454935542;17.86615454935542;32.74274267271133;6.768763642469357;2.154810544579392
ADJUDICADO;15767;672;15767;15767;0;0;0;0;2384;2384;7.350922813471174;6.0;7542.5641089726505;31.0;6153.962021462548;19.405;18.296331;29.599567;17.81;66.42335510253906;10321;788;805;0.0;100.0;0.0;0.0;15.120187733874548;15.120187733874548;65.45950402739899;4.997780173780681;5.1056003044333105
RESULTADO FINAL;387;50;387;387;0;0;0;387;283;283;4.614987080103359;1.0;86720.71607984496;10.83;627.663;440.57;0.0;0.0;17.81;27.79337501525879;9;1;1;0.0;100.0;0.0;0.0;73.1266149870801;73.1266149870801;2.3255813953488373;0.2583979328165375;0.2583979328165375
REVOGADO;35075;1279;0;0;0;0;0;0;7047;7047;4.385032074126871;3.0;51684.62058761511;32.53;;;;;17.81;94.55361938476562;7349;1979;546;;;;;20.091233071988597;20.091233071988597;20.95224518888097;5.642195295794726;1.5566642908054171
ANULADO;17505;717;0;0;0;0;0;0;3555;3555;4.894715795487004;3.0;244628.21195392744;26.21;;;;;17.81;54.239192962646484;3559;1164;47;;;;;20.308483290488432;20.308483290488432;20.331333904598687;6.649528706083976;0.268494715795487
EM ADJUDICACAO;12341;600;0;0;0;0;0;0;2128;2128;7.0491046106474355;5.0;8674.156568633012;33.63;8066.845636814065;21.0;-194.00111;29.411724;17.81;101.74059295654297;6546;762;200;;;;;17.243335224049915;17.243335224049915;53.04270318450692;6.174540150717122;1.620614212786646
SUSPENSO;12322;254;0;0;0;0;0;0;1936;1936;2.756695341665314;0.0;16456.52397776335;9.31;48733.41713117871;5.99;23.73739;40.0;17.81;-39.472206115722656;2608;3515;0;;;;;15.711735107937022;15.711735107937022;21.165395228047394;28.52621327706541;0.0
HABILITACAO;7184;398;0;0;0;0;0;0;2387;2387;4.586024498886414;2.0;12037.155619974945;24.685000000000002;-31339.804785847802;22.6735;69.670845;25.5658;17.81;40.37057876586914;618;300;160;;;;;33.22661469933185;33.22661469933185;8.602449888641425;4.1759465478841875;2.2271714922048997
;6502;0;0;0;0;0;0;0;0;0;0.0;0.0;6397.198882134607;21.75;6594.950817145001;15.22;30.206612;27.970354;17.81;34.587310791015625;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
CANCELADO;2094;438;0;0;0;0;0;0;435;435;6.886819484240688;5.0;11386.942208500477;41.980000000000004;;;;;17.81;124.25603485107422;639;66;1;;;;;20.773638968481375;20.773638968481375;30.515759312320917;3.151862464183381;0.04775549188156638
ANALISE DE PROPOSTAS;371;55;0;0;0;0;0;0;82;82;4.401617250673854;1.0;87372.58411590297;150.0;;;;;17.81;721.6170654296875;116;13;0;;;;;22.10242587601078;22.10242587601078;31.266846361185983;3.5040431266846364;0.0
RECEPCAO DE PROPOSTAS;221;17;0;0;0;0;0;0;0;0;0.0;0.0;8165.191201809955;7.6633;;;;;17.81;-56.971927642822266;147;1;55;;;;;0.0;0.0;66.51583710407239;0.4524886877828055;24.8868778280543
JULGAMENTO DE RECURSOS;128;43;0;0;0;0;0;0;5;5;7.2578125;5.0;225021.21296484375;556.64;151633.6328147541;361.37575000000004;30.491577;24.350489;17.81;2605.2218017578125;13;0;2;;;;;3.90625;3.90625;10.15625;0.0;1.5625
PUBLICADO;80;1;0;0;0;0;0;0;0;0;0.0;0.0;44.630125;21.36;;;;;17.81;22.234699249267578;4;0;0;;;;;0.0;0.0;5.0;0.0;0.0
MANIFESTACAO DE RECURSOS;56;1;0;0;0;0;0;0;0;0;6.946428571428571;7.0;8.04107142857143;1.84;6.428035714285714;1.495;13.835605;1.4068682;17.81;-39.19146537780762;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
EM FINALIZACAO;23;8;0;0;0;0;0;0;2;2;11.695652173913043;8.0;372364.86304782605;4320.0;63266.666666666664;28000.0;0.0;0.0;17.81;24156.03515625;0;0;0;;;;;8.695652173913043;8.695652173913043;0.0;0.0;0.0
