uf;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
SP;249712;10009;232932;209090;23842;5648;18194;103;41777;56195;6.92522586019094;5.0;14099.800341160711;24.23;6574.534275611819;14.4;-4301.688;30.5134;17.81;56.52246;59323;1371;223;10.235605241014545;89.76439475898546;2.424741984785259;7.810863256229286;16.730073044146856;22.503924521048248;23.756567565835844;0.5490324854232075;0.08930287691420516
PR;255499;9663;236305;217224;19081;7951;11130;7;58820;70758;5.752480440236557;4.0;6469.848499298203;29.99;5058.898800228315;19.8;-94.56298;26.27451;17.81;65.52499;156473;27412;11487;8.074733924377393;91.9252660756226;3.36471932460168;4.710014599775714;23.02161652296095;27.694041855349727;61.242118364455436;10.728809114712778;4.495908007467739
RS;53484;2367;51158;44296;6862;2600;4262;0;14555;18607;4.652568992595916;4.0;5967.750041060878;24.314999999999998;5321.113496268018;16.99;25.06336;21.052631;17.81;46.698574;10917;171;8;13.41334688611752;86.58665311388248;5.082294069353767;8.331052816763751;27.213746167078007;34.789843691571306;20.41171191384339;0.31972178595467804;0.01495774437214868
MG;75777;2272;65968;59609;6359;1983;4376;50;17845;21610;4.749171912321681;4.0;74184.43197678452;24.4333;19675.77463009929;19.19;28.509933;25.539398;17.81;42.055027;33472;12794;1428;9.63952219257822;90.36047780742177;3.0060029105020614;6.633519282076159;23.54936194359766;28.517888013513335;44.171714372434906;16.883751006241997;1.8844768201433153
BA;143778;3245;124499;118171;6328;491;5837;0;19694;23458;6.982271279333417;6.0;19644.555152155404;20.525;18301.783296526588;17.0;23.187078;29.032259;17.81;25.098259;22396;9738;478;5.082771749170676;94.91722825082933;0.3943806777564478;4.6883910714142285;13.69750587711611;16.31543073349191;15.57679199877589;6.772941618328256;0.3324569822921448
MT;54019;1500;50776;45252;5524;2144;3380;112;12542;16091;5.784871989485181;5.0;10149.346780223626;32.47;8581.5046802725;19.64;29.106226;27.16547;17.81;87.815834;10655;3021;607;10.879155506538522;89.12084449346148;4.222467307389318;6.656688199149205;23.217756715229825;29.787667302245506;19.72454136507525;5.592476721153669;1.123678705640608
MS;37306;1500;34668;31288;3380;951;2429;6;7718;9623;6.462097249772155;5.0;10812.05470828821;22.96;8711.0800664725;14.25;29.263582;27.78014;17.81;40.37058;19123;3035;2212;9.749625014422522;90.25037498557748;2.7431637244721356;7.006461289950386;20.688361121535408;25.79477831984131;51.259850962311695;8.135420575778696;5.92934112475205
SC;32486;1799;30751;28440;2311;1284;1027;67;9561;11224;4.792956966077695;4.0;12093.242146303022;35.0;5675.119662981074;24.99;28.690523;18.918919;17.81;86.412125;6816;4459;285;7.515202757633899;92.4847972423661;4.175473968326234;3.3397287893076646;29.43113956781383;34.550267807671;20.981345810502987;13.725912700855753;0.8773009911962075
CE;40285;1111;35295;33881;1414;26;1388;7;2302;3445;11.074891398783667;10.0;21063.6220123945;29.235;15711.190345615425;19.23;30.024925;30.434782;17.81;71.589;5380;0;12;4.006233177503896;95.99376682249611;0.07366482504604051;3.9325683524578556;5.714285714285714;8.551570063298994;13.354846717140376;0.0;0.029787762194365148
RJ;5740;628;4946;3895;1051;424;627;1;1633;2250;4.961672473867596;4.0;12486.899741916377;8.175;30572.587204485422;13.99;28.626379;24.285715;17.81;-45.058952;991;3;0;21.24949454104327;78.75050545895674;8.572583906186818;12.67691063485645;28.449477351916375;39.198606271777;17.264808362369337;0.05226480836236934;0.0
GO;39054;925;36141;35169;972;197;775;29;6031;6677;6.801864085625032;6.0;8737.863607195166;20.87;6645.460426609164;12.88;30.690662;34.250763;17.81;47.412735;4301;41;470;2.6894662571594585;97.31053374284055;0.5450872969757339;2.1443789601837246;15.4427203359451;17.096840272443284;11.012956419316843;0.10498284426691247;1.2034618733036309
ES;10054;466;9528;8886;642;294;348;1;1778;2190;7.312412969962204;6.0;13213.134033230555;30.0;7794.359098230669;19.0;32.54373;29.99809;17.81;77.7653;5162;387;221;6.738035264483627;93.26196473551637;3.0856423173803527;3.6523929471032743;17.68450368012731;21.782375174060075;51.34274915456535;3.849214243087328;2.1981300974736424
AM;13897;257;12409;12104;305;143;162;3;3673;3886;4.640713823127293;3.0;12373.07446337339;2.12;11115.936521881124;29.475;-17.931807;20.023981;17.81;-84.0539;6305;8985;3368;2.4578934644209847;97.54210653557902;1.152389394794101;1.3055040696268836;26.43016478376628;27.962869684104486;45.36950420954163;64.65424192271713;24.235446499244443
PE;5815;172;5242;4995;247;116;131;1;886;1072;5.278933791917455;5.0;9870.799385090284;9.42;9705.52671957566;6.96;30.759056;27.203697;17.81;-10.218978;1792;104;16;4.711942006867608;95.2880579931324;2.2128958412819535;2.4990461655856544;15.236457437661223;18.435081685296648;30.816852966466037;1.7884780739466897;0.2751504729148753
TO;1992;42;1979;1773;206;170;36;0;536;710;3.2173694779116464;3.0;2207.6532074799197;15.965;1835.2036464184996;11.11;30.8859;30.63252;17.81;6.765862;2;488;0;10.409297625063163;89.59070237493684;8.590197069226882;1.8191005558362812;26.907630522088354;35.6425702811245;0.1004016064257028;24.497991967871485;0.0
