descricao_hash;descricao_exemplo;unidade;familia_textual;itens;processos;elegiveis_modelagem;insucesso_qtd;deserto_qtd;fracassado_qtd;baixa_comp_qtd;propostas_media;valor_cotado_mediano;valor_homologado_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;desconto_pct_mediano;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct
455667890525547129;CARRINHO DE BEBE (CARRO BERÇO PAS 2 EM 1);UNIDADE;de / com / para / em / do;108;2;108;57;0;57;57;1.9444444444444444;5.0;5.0;5.0;0.0;0.0;0;0;0;52.77777777777778;0.0;52.77777777777778;52.77777777777778
3977788474636364422;CONFORME TERMO DE REFERÊNCIA;LOTE;de / com / para / em / do;141;15;139;38;38;0;19;5.191489361702128;57.48;115.5;108.0;-46.77777862548828;33.92661666870117;11;0;0;27.33812949640288;27.33812949640288;0.0;13.47517730496454
14703063301260313167;CARRINHO DE BEBÊ REVERSÍVEL;UNIDADE;de / com / para / em / do;48;2;48;26;0;26;26;1.9166666666666667;5.0;5.0;5.0;0.0;0.0;0;0;0;54.166666666666664;0.0;54.166666666666664;54.166666666666664
3581323738089807685;VENTILADOR ESCOLAR;UNIDADE;de / com / para / em / do;49;2;49;25;0;25;25;1.9795918367346939;5.0;5.0;5.0;0.0;0.0;0;0;0;51.02040816326531;0.0;51.02040816326531;51.02040816326531
141338547090073879;CADEIRA;UNID;de / com / para / em / do;52;6;52;25;1;24;24;2.25;3.0;3.0;3.0;0.0;0.0;2;0;0;48.07692307692308;1.9230769230769231;46.15384615384615;46.15384615384615
11163124561554811957;Registro de Preços para futura aquisição de medicamentos para a Fundação de Saúde Cristo Rei, em Matipó/MG.;UN;de / com / para / em / do;209;1;209;25;19;6;113;2.124401913875598;1.08;1.04;1.04;3.846153736114502;0.9118036925792694;209;0;0;11.961722488038278;9.090909090909092;2.8708133971291865;54.066985645933016
16316467377086446006;conforme edital;UN;de / com / para / em / do;451;59;397;23;10;13;52;13.873614190687361;203.91;312.0;299.45;-31.90515899658203;24.85309600830078;2;0;0;5.793450881612091;2.518891687657431;3.27455919395466;11.529933481152993
11327579314873750084;GASOLINA COMUM;LT;de / com / para / em / do;178;159;164;22;3;19;132;1.7865168539325842;6.34;6.235;6.24;1.6025640964508057;0.6396854817867279;5;8;10;13.414634146341465;1.8292682926829267;11.585365853658537;74.15730337078652
16554205160543919631;CARRINHO DE BEBÊS GALZERANO MARROM;UNIDADE;de / com / para / em / do;40;2;40;20;0;20;20;2.0;5.0;5.0;5.0;0.0;0.0;0;0;0;50.0;0.0;50.0;50.0
6211210844795997707;CADEIRA VERDE;UNIDADE;de / com / para / em / do;34;2;34;17;0;17;17;2.0;5.0;5.0;5.0;0.0;0.0;0;0;0;50.0;0.0;50.0;50.0
10926519894354422003;CONJUNTO ALUNO – CJA - 04;UNIDADE;de / com / para / em / do;34;2;34;17;0;17;17;2.0;7.5;10.0;10.0;-25.0;0.0;0;0;0;50.0;0.0;50.0;50.0
